Pond	Group	Temperature	Treatment	Chemical	Start	End	Type	Post_sum	Year	K	KDD
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.53	1.14	Coarse	616.9315268	2019	0.007743144	0.00047694
D8	UR	0°„C	UR	UR	1.52	1.2	Coarse	454.7048519	2019	0.006220757	0.000519873
E1	4°„C	4°„C	4°„C	NONE	1.53	1.09	Coarse	616.13993	2019	0.008923422	0.000550346
E12	UR	0°„C	UR	UR	1.51	1.05	Coarse	466.9504088	2019	0.009561039	0.000778069
E3	UR	0°„C	UR	UR	1.48	1.12	Coarse	458.6384789	2019	0.007334563	0.000607697
E4	4°„C	4°„C	4°„C	NONE	1.49	1.08	Coarse	618.4924482	2019	0.008468818	0.000520322
E6	RU	0°„C	RU	RU	1.49	1.19	Coarse	462.6872236	2019	0.00591639	0.000485907
E7	4°„C	4°„C	4°„C	NONE	1.53	1.11	Coarse	614.334262	2019	0.00844494	0.000522367
E8	UR+RU	0°„C	UR+RU	UR+RU	1.45	1.13	Coarse	462.0381269	2019	0.006561735	0.000539665
F1	RU	0°„C	RU	RU	1.5	1.11	Coarse	463.6365822	2019	0.007923818	0.000649442
F11	CONTROL	0°„C	CONTROL	NONE	1.5	1.03	Coarse	469.1492049	2019	0.009892271	0.000801251
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.45	1.07	Coarse	611.6783162	2019	0.007997498	0.000496838
F3	4°„C	4°„C	4°„C	NONE	1.46	0.91	Coarse	617.0124414	2019	0.012440714	0.000766187
F4	UR+RU	0°„C	UR+RU	UR+RU	1.5	1.16	Coarse	459.7291932	2019	0.006764345	0.000559123
F5	CONTROL	0°„C	CONTROL	NONE	1.49	1.15	Coarse	453.1751841	2019	0.006816163	0.000571554
F9	RU	0°„C	RU	RU	1.49	1.12	Coarse	450.580334	2019	0.007511775	0.000633511
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.48	1.01	Coarse	615.7485623	2019	0.010055046	0.000620532
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.52	1.06	Coarse	616.8215918	2019	0.009485301	0.000584353
G6	UR+RU	0°„C	UR+RU	UR+RU	1.51	1.15	Coarse	463.2848108	2019	0.007167045	0.000587862
G7	RU	0°„C	RU	RU	1.54	1.15	Coarse	432.5988142	2019	0.007684749	0.000675038
G8	CONTROL	0°„C	CONTROL	NONE	1.47	1.11	Coarse	454.9363185	2019	0.007392168	0.000617454
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	0.97	Coarse	609.3283046	2019	0.011471693	0.000715418
H1	CONTROL	0°„C	CONTROL	NONE	1.5	1.02	Coarse	452.5968864	2019	0.010149013	0.00085211
H10	CONTROL	0°„C	CONTROL	NONE	1.47	1.26	Coarse	457.3288597	2019	0.004056597	0.000337067
H11	4°„C	4°„C	4°„C	NONE	1.45	0.72	Coarse	611.9186825	2019	0.018422832	0.001144053
H12	UR+RU	0°„C	UR+RU	UR+RU	1.49	1.06	Coarse	454.1597367	2019	0.008960716	0.000749752
H2	UR+RU	0°„C	UR+RU	UR+RU	1.52	1.19	Coarse	445.9877959	2019	0.006440974	0.000548798
H4	4°„C	4°„C	4°„C	NONE	1.46	1.01	Coarse	616.7041321	2019	0.009697003	0.000597509
H6	UR	0°„C	UR	UR	1.52	1.15	Coarse	457.0973321	2019	0.007340747	0.00061026
H8	4°„C	4°„C	4°„C	NONE	1.48	0.93	Coarse	613.4524038	2019	0.012226652	0.000757374
A10	UR	0°„C	UR	UR	4	3.545	Coarse	380.7976942	2021	0.003773631	0.000317114
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.577	Coarse	506.2496054	2021	0.003492809	0.00022078
A12	UR+RU	0°„C	UR+RU	UR+RU	4	3.682	Coarse	399.8619832	2021	0.002588696	0.000207167
A2	CONTROL	0°„C	CONTROL	NONE	4	3.452	Coarse	358.7833949	2021	0.004604393	0.000410667
A4	UR+RU	0°„C	UR+RU	UR+RU	4	3.63	Coarse	383.5960609	2021	0.003033179	0.000253031
A6	4°„C	4°„C	4°„C	NONE	4	2.707	Coarse	504.6654362	2021	0.012201667	0.000773688
A7	CONTROL	0°„C	CONTROL	NONE	4	3.286	Coarse	376.2414406	2021	0.006144479	0.000522599
B2	UR	0°„C	UR	UR	4	3.416	Coarse	363.4708673	2021	0.004932003	0.000434214
B4	CONTROL	0°„C	CONTROL	NONE	4	3.133	Coarse	377.5250128	2021	0.00763448	0.000647118
B5	RU	0°„C	RU	RU	4	3.128	Coarse	371.8406188	2021	0.007684392	0.000661306
B8	CONTROL	0°„C	CONTROL	NONE	4	3.404	Coarse	387.5978228	2021	0.005041973	0.000416264
C1	UR+RU	0°„C	UR+RU	UR+RU	4	3.057	Coarse	372.7098409	2021	0.008401885	0.000721366
C10	4°„C	4°„C	4°„C	NONE	4	3.216	Coarse	505.4998453	2021	0.006817375	0.000431565
C12	RU	0°„C	RU	RU	4	3.474	Coarse	396.4585591	2021	0.004405865	0.000355618
C6	RU	0°„C	RU	RU	4	3.419	Coarse	379.0874252	2021	0.00490457	0.000414011
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	2.985	Coarse	505.9847987	2021	0.009146707	0.000578465
C9	UR	0°„C	UR	UR	4	3.547	Coarse	383.4698395	2021	0.003756006	0.000313433
D1	RU	0°„C	RU	RU	4	3.589	Coarse	383.4942766	2021	0.003388148	0.000282718
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.508	Coarse	504.6065589	2021	0.004101509	0.0002601
D5	UR	0°„C	UR	UR	4	3.456	Coarse	379.7701471	2021	0.004568203	0.000384924
D6	CONTROL	0°„C	CONTROL	NONE	4	3.388	Coarse	347.4386709	2021	0.005189206	0.000477939
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.449	Coarse	505.7546144	2021	0.004631563	0.000293047
D8	UR	0°„C	UR	UR	4	3.544	Coarse	391.0878249	2021	0.003782448	0.000309491
E12	UR	0°„C	UR	UR	4	3.452	Coarse	363.3237154	2021	0.004604393	0.000405535
E3	UR	0°„C	UR	UR	4	3.247	Coarse	365.1393619	2021	0.00651759	0.000571187
E4	4°„C	4°„C	4°„C	NONE	4	3.558	Coarse	505.3796344	2021	0.003659243	0.000231699
E6	RU	0°„C	RU	RU	4	3.487	Coarse	383.9696721	2021	0.004289144	0.000357457
E7	4°„C	4°„C	4°„C	NONE	4	3.422	Coarse	504.6220442	2021	0.004877162	0.000309279
E8	UR+RU	0°„C	UR+RU	UR+RU	4	3.656	Coarse	386.9473546	2021	0.002810147	0.000232395
F1	RU	0°„C	RU	RU	4	3.762	Coarse	374.956816	2021	0.001916988	0.000163602
F11	CONTROL	0°„C	CONTROL	NONE	4	3.205	Coarse	388.9162981	2021	0.006924446	0.000569743
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.361	Coarse	491.0143654	2021	0.005439244	0.000354482
F3	4°„C	4°„C	4°„C	NONE	4	3.086	Coarse	504.9924194	2021	0.008106831	0.000513708
F4	UR+RU	0°„C	UR+RU	UR+RU	4	3.671	Coarse	388.1420413	2021	0.002682196	0.000221131
F5	CONTROL	0°„C	CONTROL	NONE	4	3.276	Coarse	348.1569508	2021	0.006239725	0.000573509
F9	RU	0°„C	RU	RU	4	3.635	Coarse	382.4667188	2021	0.002990164	0.000250179
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.544	Coarse	505.0862618	2021	0.003782448	0.000239639
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.141	Coarse	506.0663411	2021	0.007554786	0.00047771
G6	UR+RU	0°„C	UR+RU	UR+RU	4	3.604	Coarse	355.8025805	2021	0.003257813	0.000293
G7	RU	0°„C	RU	RU	4	3.653	Coarse	370.0202744	2021	0.0028358	0.000245245
G8	CONTROL	0°„C	CONTROL	NONE	4	3.307	Coarse	372.273574	2021	0.005945404	0.000511057
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.337	Coarse	501.1310034	2021	0.005663193	0.000361626
H11	4°„C	4°„C	4°„C	NONE	4	3.544	Coarse	494.5793356	2021	0.003782448	0.00024473
H12	UR+RU	0°„C	UR+RU	UR+RU	4	3.143	Coarse	373.5561374	2021	0.007534894	0.000645463
H2	UR+RU	0°„C	UR+RU	UR+RU	4	3.359	Coarse	343.5429587	2021	0.005457845	0.000508382
H4	4°„C	4°„C	4°„C	NONE	4	2.97	Coarse	504.2227166	2021	0.009304138	0.000590478
H6	UR	0°„C	UR	UR	4	3.282	Coarse	360.8184219	2021	0.006182543	0.000548313
H8	4°„C	4°„C	4°„C	NONE	4	3.306	Coarse	505.0988133	2021	0.005954855	0.000377264
A1	4°„C	4°„C	4°„C	NONE	1.5	0.789	Coarse	688.2917682	2022	0.02007669	0.000933404
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	0.844	Coarse	690.5607143	2022	0.017970872	0.000832755
A12	UR+RU	0°„C	UR+RU	UR+RU	1.5	0.8	Coarse	571.7024932	2022	0.019644021	0.001099538
B4	CONTROL	0°„C	CONTROL	NONE	1.5	0.899	Coarse	567.113749	2022	0.015998042	0.000902707
B5	RU	0°„C	RU	RU	1.5	0.289	Coarse	557.7435207	2022	0.051462303	0.0029526
B9	4°„C	4°„C	4°„C	NONE	1.5	0.945	Coarse	543.9197722	2022	0.014438608	0.000849455
C3	4°„C	4°„C	4°„C	NONE	1.5	0.78	Coarse	688.1489649	2022	0.020435202	0.000950269
C6	RU	0°„C	RU	RU	1.5	0.771	Coarse	555.7259722	2022	0.020797875	0.00119759
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	0.701	Coarse	546.0259381	2022	0.023772266	0.00139318
C9	UR	0°„C	UR	UR	1.5	0.85	Coarse	452.6442772	2022	0.017749501	0.001254813
D1	RU	0°„C	RU	RU	1.5	0.651	Coarse	575.1613241	2022	0.026084711	0.001451264
D12	4°„C	4°„C	4°„C	NONE	1.5	0.458	Coarse	687.472772	2022	0.037073475	0.00172567
D6	CONTROL	0°„C	CONTROL	NONE	1.5	1.002	Coarse	533.3838903	2022	0.012608347	0.000756429
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	0.829	Coarse	545.8326823	2022	0.018531257	0.001086414
E3	UR	0°„C	UR	UR	1.5	0.997	Coarse	521.7631767	2022	0.012764676	0.000782864
F11	CONTROL	0°„C	CONTROL	NONE	1.5	0.807	Coarse	568.2869897	2022	0.019371772	0.001090816
F5	CONTROL	0°„C	CONTROL	NONE	1.5	0.793	Coarse	542.8869125	2022	0.019918661	0.001174088
F9	RU	0°„C	RU	RU	1.5	0.807	Coarse	566.6371707	2022	0.019371772	0.001093992
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	0.759	Coarse	689.654402	2022	0.021288082	0.000987768
G6	UR+RU	0°„C	UR+RU	UR+RU	1.5	0.854	Coarse	541.2893702	2022	0.017602787	0.001040643
G8	CONTROL	0°„C	CONTROL	NONE	1.5	0.902	Coarse	555.7136347	2022	0.015893933	0.00091523
H11	4°„C	4°„C	4°„C	NONE	1.5	0.681	Coarse	676.2974721	2022	0.024676815	0.001167619
H2	UR+RU	0°„C	UR+RU	UR+RU	1.5	0.82225	Coarse	535.7892796	2022	0.018786747	0.001122038
H4	4°„C	4°„C	4°„C	NONE	1.5	0.748	Coarse	688.2539508	2022	0.021744294	0.001010989
A1	4°„C	4°„C	4°„C	NONE	1.51	0.96	Fine	616.8357978	2019	0.011919254	0.000734282
A10	UR	0°„C	UR	UR	1.49	1.09	Fine	457.8572837	2019	0.008226274	0.000682742
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.52	0.95	Fine	616.4330288	2019	0.012368517	0.000762457
A12	UR+RU	0°„C	UR+RU	UR+RU	1.45	1.13	Fine	484.255719	2019	0.006561735	0.000514905
A2	CONTROL	0°„C	CONTROL	NONE	1.5	1.01	Fine	444.1734011	2019	0.010408284	0.000890451
A4	UR+RU	0°„C	UR+RU	UR+RU	1.48	1.02	Fine	464.4933336	2019	0.009795775	0.000801388
A6	4°„C	4°„C	4°„C	NONE	1.49	1.01	Fine	616.8448795	2019	0.010232258	0.000630346
A7	CONTROL	0°„C	CONTROL	NONE	1.47	0.91	Fine	462.8554604	2019	0.012620344	0.001036118
B12	CONTROL	0°„C	CONTROL	NONE	1.48	1.09	Fine	472.7578861	2019	0.008049063	0.000646979
B2	UR	0°„C	UR	UR	1.48	1.06	Fine	450.7296829	2019	0.008783505	0.000740517
B4	CONTROL	0°„C	CONTROL	NONE	1.46	0.99	Fine	462.695013	2019	0.010223336	0.000839617
B5	RU	0°„C	RU	RU	1.55	1.07	Fine	454.8967166	2019	0.009752534	0.000814682
B8	CONTROL	0°„C	CONTROL	NONE	1.54	1.04	Fine	466.2546926	2019	0.010330571	0.000841947
B9	4°„C	4°„C	4°„C	NONE	1.47	0.93	Fine	615.6682905	2019	0.012048239	0.000743636
C1	UR+RU	0°„C	UR+RU	UR+RU	1.46	1	Fine	451.2308243	2019	0.009958854	0.000838676
C10	4°„C	4°„C	4°„C	NONE	1.47	0.84	Fine	618.4635285	2019	0.014726731	0.000904848
C12	RU	0°„C	RU	RU	1.49	1.05	Fine	468.6112335	2019	0.009210157	0.000746858
C3	4°„C	4°„C	4°„C	NONE	1.51	0.84	Fine	616.9807339	2019	0.015433238	0.000950537
C6	RU	0°„C	RU	RU	1.49	1.03	Fine	459.3492995	2019	0.009716245	0.000803783
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.52	1.01	Fine	616.2088077	2019	0.010756842	0.000663347
C9	UR	0°„C	UR	UR	1.46	1	Fine	461.7234514	2019	0.009958854	0.000819617
D1	RU	0°„C	RU	RU	1.46	0.94	Fine	461.8008489	2019	0.011587154	0.000953467
D10	CONTROL	0°„C	CONTROL	NONE	1.52	1.07	Fine	465.2157037	2019	0.009238202	0.0007546
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.55	1.05	Fine	615.4859737	2019	0.010249073	0.000632776
D12	4°„C	4°„C	4°„C	NONE	1.53	0.95	Fine	617.4877442	2019	0.01254108	0.000771774
D2	4°„C	4°„C	4°„C	NONE	1.48	0.94	Fine	616.66899	2019	0.011945197	0.00073608
D5	UR	0°„C	UR	UR	1.49	1.05	Fine	460.1552396	2019	0.009210157	0.000760582
D6	CONTROL	0°„C	CONTROL	NONE	1.5	1.07	Fine	446.8141285	2019	0.008889644	0.000756034
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.55	0.98	Fine	616.9315268	2019	0.012064675	0.000743126
D8	UR	0°„C	UR	UR	1.51	1.05	Fine	454.7048519	2019	0.009561039	0.000799023
E1	4°„C	4°„C	4°„C	NONE	1.52	0.94	Fine	616.13993	2019	0.012646993	0.000779994
E12	UR	0°„C	UR	UR	1.49	1.04	Fine	466.9504088	2019	0.009461984	0.000770008
E3	UR	0°„C	UR	UR	1.47	1.08	Fine	458.6384789	2019	0.008113194	0.00067221
E4	4°„C	4°„C	4°„C	NONE	1.5	0.98	Fine	618.4924482	2019	0.011201785	0.000688234
E6	RU	0°„C	RU	RU	1.5	1.07	Fine	462.6872236	2019	0.008889644	0.000730097
E7	4°„C	4°„C	4°„C	NONE	1.5	1.14	Fine	614.334262	2019	0.007222022	0.000446722
E8	UR+RU	0°„C	UR+RU	UR+RU	1.48	1.06	Fine	462.0381269	2019	0.008783505	0.000722393
F1	RU	0°„C	RU	RU	1.54	1.14	Fine	463.6365822	2019	0.007914583	0.000648685
F11	CONTROL	0°„C	CONTROL	NONE	1.54	1.1	Fine	469.1492049	2019	0.008854533	0.000717197
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	0.98	Fine	611.6783162	2019	0.011201785	0.000695901
F3	4°„C	4°„C	4°„C	NONE	1.48	0.93	Fine	617.0124414	2019	0.012226652	0.000753004
F4	UR+RU	0°„C	UR+RU	UR+RU	1.54	1.03	Fine	459.7291932	2019	0.010584832	0.000874914
F5	CONTROL	0°„C	CONTROL	NONE	1.51	0.99	Fine	453.1751841	2019	0.011109473	0.00093156
F9	RU	0°„C	RU	RU	1.47	1.01	Fine	450.580334	2019	0.009876633	0.000832953
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.48	0.96	Fine	615.7485623	2019	0.01139116	0.000702988
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.48	0.98	Fine	616.8215918	2019	0.010848547	0.000668337
G6	UR+RU	0°„C	UR+RU	UR+RU	1.46	1.03	Fine	463.2848108	2019	0.00918099	0.000753052
G8	CONTROL	0°„C	CONTROL	NONE	1.54	1.12	Fine	454.9363185	2019	0.008380361	0.000699996
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.47	0.99	Fine	609.3283046	2019	0.010402967	0.000648768
H1	CONTROL	0°„C	CONTROL	NONE	1.47	1.07	Fine	452.5968864	2019	0.008357993	0.000701736
H10	CONTROL	0°„C	CONTROL	NONE	1.5	1.06	Fine	457.3288597	2019	0.009136742	0.000759183
H11	4°„C	4°„C	4°„C	NONE	1.47	0.86	Fine	611.9186825	2019	0.014107508	0.000876073
H12	UR+RU	0°„C	UR+RU	UR+RU	1.48	1.07	Fine	454.1597367	2019	0.008536406	0.00071425
H2	UR+RU	0°„C	UR+RU	UR+RU	1.48	1.03	Fine	445.9877959	2019	0.009539034	0.000812765
H4	4°„C	4°„C	4°„C	NONE	1.48	0.96	Fine	616.7041321	2019	0.01139116	0.000701899
H6	UR	0°„C	UR	UR	1.5	1.04	Fine	457.0973321	2019	0.00963801	0.000801239
H8	4°„C	4°„C	4°„C	NONE	1.47	0.97	Fine	613.4524038	2019	0.010940042	0.000677675
A10	UR	0°„C	UR	UR	4	3.397	Fine	380.7976942	2021	0.005106302	0.000429104
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.144	Fine	506.2496054	2021	0.007524953	0.000475652
A12	UR+RU	0°„C	UR+RU	UR+RU	4	3.436	Fine	399.8619832	2021	0.004749574	0.000380097
A2	CONTROL	0°„C	CONTROL	NONE	4	3.137	Fine	358.7833949	2021	0.007594607	0.000677365
A4	UR+RU	0°„C	UR+RU	UR+RU	4	3.042	Fine	383.5960609	2021	0.008555599	0.000713717
A6	4°„C	4°„C	4°„C	NONE	4	3.25	Fine	504.6654362	2021	0.00648873	0.00041144
A7	CONTROL	0°„C	CONTROL	NONE	4	3.265	Fine	376.2414406	2021	0.006344831	0.000539639
B2	UR	0°„C	UR	UR	4	3.215	Fine	363.4708673	2021	0.006827094	0.000601058
B4	CONTROL	0°„C	CONTROL	NONE	4	3.172	Fine	377.5250128	2021	0.007247877	0.000614349
B5	RU	0°„C	RU	RU	4	3.292	Fine	371.8406188	2021	0.006087471	0.000523878
B8	CONTROL	0°„C	CONTROL	NONE	4	3.285	Fine	387.5978228	2021	0.006153991	0.000508072
C1	UR+RU	0°„C	UR+RU	UR+RU	4	3.336	Fine	372.7098409	2021	0.005672559	0.000487033
C10	4°„C	4°„C	4°„C	NONE	4	2.824	Fine	505.4998453	2021	0.010879376	0.000688705
C12	RU	0°„C	RU	RU	4	3.071	Fine	396.4585591	2021	0.008259097	0.00066663
C6	RU	0°„C	RU	RU	4	3.197	Fine	379.0874252	2021	0.007002547	0.000591108
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.187	Fine	505.9847987	2021	0.007100448	0.000449054
C9	UR	0°„C	UR	UR	4	3.385	Fine	383.4698395	2021	0.005216889	0.000435342
D1	RU	0°„C	RU	RU	4	3.289	Fine	383.4942766	2021	0.006115962	0.000510336
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	2.816	Fine	504.6065589	2021	0.010968029	0.000695546
D5	UR	0°„C	UR	UR	4	3.527	Fine	379.7701471	2021	0.00393271	0.000331376
D6	CONTROL	0°„C	CONTROL	NONE	4	3.413	Fine	347.4386709	2021	0.004959459	0.000456779
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.254	Fine	505.7546144	2021	0.006450292	0.000408122
D8	UR	0°„C	UR	UR	4	3.52	Fine	391.0878249	2021	0.003994793	0.000326866
E12	UR	0°„C	UR	UR	4	3.294	Fine	363.3237154	2021	0.006068492	0.000534487
E3	UR	0°„C	UR	UR	4	3.327	Fine	365.1393619	2021	0.00575698	0.000504529
E4	4°„C	4°„C	4°„C	NONE	4	2.804	Fine	505.3796344	2021	0.011101481	0.000702932
E6	RU	0°„C	RU	RU	4	3.279	Fine	383.9696721	2021	0.006211121	0.000517634
E7	4°„C	4°„C	4°„C	NONE	4	3.151	Fine	504.6220442	2021	0.007455453	0.000472779
E8	UR+RU	0°„C	UR+RU	UR+RU	4	3.304	Fine	386.9473546	2021	0.005973766	0.000494022
F1	RU	0°„C	RU	RU	4	3.153	Fine	374.956816	2021	0.007435624	0.00063458
F11	CONTROL	0°„C	CONTROL	NONE	4	3.268	Fine	388.9162981	2021	0.006316131	0.000519691
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.156	Fine	491.0143654	2021	0.007405905	0.000482652
F3	4°„C	4°„C	4°„C	NONE	4	3.229	Fine	504.9924194	2021	0.006691308	0.00042401
F4	UR+RU	0°„C	UR+RU	UR+RU	4	3.242	Fine	388.1420413	2021	0.006565748	0.000541307
F5	CONTROL	0°„C	CONTROL	NONE	4	3.179	Fine	348.1569508	2021	0.00717899	0.000659839
F9	RU	0°„C	RU	RU	4	3.277	Fine	382.4667188	2021	0.006230187	0.000521264
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	3.193	Fine	505.0862618	2021	0.00704167	0.000446129
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	2.822	Fine	506.0663411	2021	0.010901516	0.000689334
G6	UR+RU	0°„C	UR+RU	UR+RU	4	3.13	Fine	355.8025805	2021	0.007664417	0.000689319
G7	RU	0°„C	RU	RU	4	3.309	Fine	370.0202744	2021	0.00592651	0.000512535
G8	CONTROL	0°„C	CONTROL	NONE	4	2.837	Fine	372.273574	2021	0.01073585	0.000922835
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	4	2.955	Fine	501.1310034	2021	0.009462366	0.000604225
H11	4°„C	4°„C	4°„C	NONE	4	3.346	Fine	494.5793356	2021	0.005579024	0.000360971
H12	UR+RU	0°„C	UR+RU	UR+RU	4	3.291	Fine	373.5561374	2021	0.006096965	0.000522285
H2	UR+RU	0°„C	UR+RU	UR+RU	4	3.322	Fine	343.5429587	2021	0.00580398	0.000540623
H4	4°„C	4°„C	4°„C	NONE	4	3.266	Fine	504.2227166	2021	0.006335261	0.000402061
H6	UR	0°„C	UR	UR	4	3.142	Fine	360.8184219	2021	0.007544838	0.000669131
H8	4°„C	4°„C	4°„C	NONE	4	2.708	Fine	505.0988133	2021	0.012190125	0.000772292
A1	4°„C	4°„C	4°„C	NONE	1.5	1.047	Fine	688.2917682	2022	0.011235506	0.00052236
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	0.891	Fine	690.5607143	2022	0.016277374	0.00075428
A12	UR+RU	0°„C	UR+RU	UR+RU	1.5	0.972	Fine	571.7024932	2022	0.013558268	0.000758899
B4	CONTROL	0°„C	CONTROL	NONE	1.5	1.149	Fine	567.113749	2022	0.00833041	0.000470052
B5	RU	0°„C	RU	RU	1.5	0.978	Fine	557.7435207	2022	0.01336596	0.000766859
B9	4°„C	4°„C	4°„C	NONE	1.5	1.152	Fine	543.9197722	2022	0.008248923	0.000485302
C3	4°„C	4°„C	4°„C	NONE	1.5	0.936	Fine	688.1489649	2022	0.014737653	0.000685324
C6	RU	0°„C	RU	RU	1.5	1.057	Fine	555.7259722	2022	0.01093845	0.000629862
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	1.087	Fine	546.0259381	2022	0.010063859	0.000589795
C9	UR	0°„C	UR	UR	1.5	0.905	Fine	452.6442772	2022	0.01579017	0.001116297
D1	RU	0°„C	RU	RU	1.5	1.102	Fine	575.1613241	2022	0.009635575	0.00053609
D12	4°„C	4°„C	4°„C	NONE	1.5	1.082	Fine	687.472772	2022	0.010207935	0.000475152
