Pond	Group	Temperature	Treatment	Chemical	Ammonia	Weight	Type	Dosing	K	Sum	KDD	Temp
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.696	RedA	Pre	0.00744141	367.6137297	0.000647759	0
A6	4°„C	4°„C	4°„C	NONE	Ammonia	1.621	RedA	Pre	0.008854825	509.5454726	0.000556092	4
A9	2°„C	2°„C	NONE	NONE	Ammonia	1.649	RedA	Pre	0.008319644	446.1328871	0.000596747	2
B11	2°„C	2°„C	NONE	NONE	Ammonia	1.653	RedA	Pre	0.008243932	447.1158977	0.000590017	2
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.713	RedA	Pre	0.007129732	383.1024087	0.000595536	0
B2	UR	0°„C	UR	NONE	Ammonia	1.663	RedA	Pre	0.008055451	361.8610358	0.000712358	0
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.709	RedA	Pre	0.007202789	395.6144868	0.000582611	0
C1	UR+RU	0°„C	UR+RU	NONE	Ammonia	1.652	RedA	Pre	0.008262843	379.2232947	0.000697243	0
C10	4°„C	4°„C	4°„C	NONE	Ammonia	1.525	RedA	Pre	0.010762601	511.0165615	0.000673957	4
C12	RU	0°„C	RU	NONE	Ammonia	1.6505	RedA	Pre	0.00829123	405.0981561	0.000654951	0
C2	2°„C	2°„C	NONE	NONE	Ammonia	1.688	RedA	Pre	0.007589164	447.0255008	0.000543265	2
C4	8°„C	8°„C	NONE	NONE	Ammonia	1.669	RedA	Pre	0.007942906	604.1764945	0.000420693	8
C5	2°„C	2°„C	NONE	NONE	Ammonia	1.62	RedA	Pre	0.008874109	447.3924899	0.000634726	2
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.69	RedA	Pre	0.00755216	383.7503061	0.000629756	0
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	1.594	RedA	Pre	0.009379721	510.50261	0.000587952	4
D2	4°„C	4°„C	4°„C	NONE	Ammonia	1.653	RedA	Pre	0.008243932	509.8687233	0.0005174	4
D3	6°„C	6°„C	NONE	NONE	Ammonia	1.583	RedA	Pre	0.009596121	574.4571034	0.00053455	6
D4	2°„C	2°„C	NONE	NONE	Ammonia	1.641	RedA	Pre	0.00847162	444.7157219	0.000609585	2
D5	UR	0°„C	UR	NONE	Ammonia	1.573	RedA	Pre	0.009794157	377.3008335	0.000830671	0
E11	3°„C	3°„C	NONE	NONE	Ammonia	1.578	RedA	Pre	0.009694982	479.6663341	0.000646782	3
E12	UR	0°„C	UR	NONE	Ammonia	1.634	RedA	Pre	0.008605208	365.7896935	0.0007528	0
E2	7°„C	7°„C	NONE	NONE	Ammonia	1.662	RedA	Pre	0.008074248	604.6203759	0.000427336	7
E4	4°„C	4°„C	4°„C	NONE	Ammonia	1.553	RedA	Pre	0.010194034	511.2400122	0.000638074	4
E5	3°„C	3°„C	NONE	NONE	Ammonia	1.726	RedA	Pre	0.00689347	479.2740404	0.000460261	3
E6	RU	0°„C	RU	NONE	Ammonia	1.696	RedA	Pre	0.00744141	392.1089334	0.000607293	0
E7	4°„C	4°„C	4°„C	NONE	Ammonia	1.617	RedA	Pre	0.008932033	510.2234102	0.000560196	4
E8	UR+RU	0°„C	UR+RU	NONE	Ammonia	1.693	RedA	Pre	0.007496736	395.688872	0.000606273	0
E9	2°„C	2°„C	NONE	NONE	Ammonia	1.646	RedA	Pre	0.008376548	447.2282164	0.000599357	2
F1	RU	0°„C	RU	NONE	Ammonia	1.707	RedA	Pre	0.007239381	387.9225775	0.000597182	0
F10	6°„C	6°„C	NONE	NONE	Ammonia	1.666	RedA	Pre	0.007999128	530.8745233	0.000482171	6
F12	2°„C	2°„C	NONE	NONE	Ammonia	1.62	RedA	Pre	0.008874109	446.2576869	0.00063634	2
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	1.658	RedA	Pre	0.00814955	491.5371511	0.000530551	4
F3	4°„C	4°„C	4°„C	NONE	Ammonia	1.681	RedA	Pre	0.007719025	510.5763123	0.000483784	4
F4	UR+RU	0°„C	UR+RU	NONE	Ammonia	1.708	RedA	Pre	0.00722108	360.2414761	0.000641443	0
F6	5°„C	5°„C	NONE	NONE	Ammonia	1.561	RedA	Pre	0.010033469	540.9976819	0.000593479	5
F7	8°„C	8°„C	NONE	NONE	Ammonia	1.642	RedA	Pre	0.008452582	637.2128321	0.000424478	8
G11	5°„C	5°„C	NONE	NONE	Ammonia	1.598	RedA	Pre	0.0093014	541.592732	0.000549573	5
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	1.561	RedA	Pre	0.010033469	510.7005326	0.000628687	4
G2	1°„C	1°„C	NONE	NONE	Ammonia	1.695	RedA	Pre	0.007459841	415.9324667	0.000573927	1
G7	RU	0°„C	RU	NONE	Ammonia	1.565	RedA	Pre	0.009953494	392.6763574	0.000811131	0
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	1.698	RedA	Pre	0.00740458	505.7112059	0.000468541	4
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.661	RedA	Pre	0.008093057	375.5703174	0.000689559	0
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.649	RedA	Pre	0.008319644	375.7733472	0.000708482	0
H12	UR+RU	0°„C	UR+RU	NONE	Ammonia	1.641	RedA	Pre	0.00847162	376.8510524	0.000719361	0
H6	UR	0°„C	UR	NONE	Ammonia	1.632	RedA	Pre	0.008643481	386.4261501	0.000715768	0
H7	7°„C	7°„C	NONE	NONE	Ammonia	1.617	RedA	Pre	0.008932033	600.3673159	0.000476084	7
H8	4°„C	4°„C	4°„C	NONE	Ammonia	1.631	RedA	Pre	0.008662635	510.8252488	0.00054266	4
H9	1°„C	1°„C	NONE	NONE	Ammonia	1.706	RedA	Pre	0.007257694	415.3681417	0.000559133	1
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.714	GreenA	Post	0.032483583	536.7335952	0.001936668	0
A6	4°„C	4°„C	4°„C	NONE	Ammonia	0.573	GreenA	Post	0.039358497	686.4079224	0.001834874	4
A9	2°„C	2°„C	NONE	NONE	Ammonia	0.576	GreenA	Post	0.039195311	491.2156696	0.002553359	2
B11	2°„C	2°„C	NONE	NONE	Ammonia	0.588	GreenA	Post	0.038550958	621.953428	0.001983478	2
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.602	GreenA	Post	0.03781563	546.4831085	0.002214341	0
B2	UR	0°„C	UR	UR	Ammonia	0.744	GreenA	Post	0.031197393	524.648602	0.001902829	0
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.584	GreenA	Post	0.03876427	448.3988604	0.002766413	0
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.74	GreenA	Post	0.031365857	553.2492177	0.001814205	0
C10	4°„C	4°„C	4°„C	NONE	Ammonia	0.503	GreenA	Post	0.043430233	687.9237416	0.002020235	4
C12	RU	0°„C	RU	RU	Ammonia	0.587	GreenA	Post	0.03860415	569.2269491	0.002170194	0
C2	2°„C	2°„C	NONE	NONE	Ammonia	0.643	GreenA	Post	0.035756653	621.913309	0.001839827	2
C4	8°„C	8°„C	NONE	NONE	Ammonia	0.627	GreenA	Post	0.036544096	785.9408731	0.001487912	8
C5	2°„C	2°„C	NONE	NONE	Ammonia	0.559	GreenA	Post	0.040131505	622.4863337	0.00206303	2
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.686	GreenA	Post	0.03373375	558.5367533	0.001932693	0
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.536	GreenA	Post	0.041444483	689.3842741	0.00192378	4
D2	4°„C	4°„C	4°„C	NONE	Ammonia	0.581	GreenA	Post	0.038925214	686.6259892	0.001814098	4
D3	6°„C	6°„C	NONE	NONE	Ammonia	0.513	GreenA	Post	0.042815055	753.3781184	0.001818585	6
D4	2°„C	2°„C	NONE	NONE	Ammonia	0.585	GreenA	Post	0.038710805	618.9731682	0.002001292	2
D5	UR	0°„C	UR	UR	Ammonia	0.75	GreenA	Post	0.030946388	551.6865593	0.001795013	0
E11	3°„C	3°„C	NONE	NONE	Ammonia	0.623	GreenA	Post	0.036744097	656.0330853	0.001792305	3
E12	UR	0°„C	UR	UR	Ammonia	0.739	GreenA	Post	0.031408116	520.2204033	0.001931988	0
E2	7°„C	7°„C	NONE	NONE	Ammonia	0.602	GreenA	Post	0.03781563	784.4387058	0.001542632	7
E4	4°„C	4°„C	4°„C	NONE	Ammonia	0.698	GreenA	Post	0.033191829	688.5819035	0.001542501	4
E5	3°„C	3°„C	NONE	NONE	Ammonia	0.628	GreenA	Post	0.036494295	654.5107009	0.00178426	3
E6	RU	0°„C	RU	RU	Ammonia	0.739	GreenA	Post	0.031408116	561.9354868	0.001788568	0
E7	4°„C	4°„C	4°„C	NONE	Ammonia	0.557	GreenA	Post	0.040243512	687.504701	0.00187314	4
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.593	GreenA	Post	0.038286351	566.4816887	0.002162759	0
E9	2°„C	2°„C	NONE	NONE	Ammonia	0.711	GreenA	Post	0.032615162	622.0086139	0.001677927	2
F1	RU	0°„C	RU	RU	Ammonia	0.769	GreenA	Post	0.030164583	561.6053939	0.001718763	0
F10	6°„C	6°„C	NONE	NONE	Ammonia	0.622	GreenA	Post	0.036794298	703.2513789	0.001674248	6
F12	2°„C	2°„C	NONE	NONE	Ammonia	0.603	GreenA	Post	0.037763763	620.9073982	0.001946249	2
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.585	GreenA	Post	0.038710805	667.6246241	0.001855452	4
F3	4°„C	4°„C	4°„C	NONE	Ammonia	0.539	GreenA	Post	0.041270064	687.689493	0.001920405	4
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.814	GreenA	Post	0.028387414	502.7580609	0.001806828	0
F6	5°„C	5°„C	NONE	NONE	Ammonia	0.533	GreenA	Post	0.041619881	716.9714533	0.001857586	5
F7	8°„C	8°„C	NONE	NONE	Ammonia	0.627	GreenA	Post	0.036544096	818.0384424	0.001429531	8
G11	5°„C	5°„C	NONE	NONE	Ammonia	0.496	GreenA	Post	0.043868178	720.1580488	0.001949269	5
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.695	GreenA	Post	0.03332643	687.7497047	0.001550631	4
G2	1°„C	1°„C	NONE	NONE	Ammonia	0.695	GreenA	Post	0.03332643	590.9402444	0.001804659	1
G7	RU	0°„C	RU	RU	Ammonia	0.608	GreenA	Post	0.037505711	568.0331778	0.002112874	0
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.477	GreenA	Post	0.045088785	684.3270204	0.002108409	4
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.571	GreenA	Post	0.039467763	552.322465	0.00228665	0
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.647	GreenA	Post	0.035562854	550.0485948	0.002068929	0
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.604	GreenA	Post	0.037711982	538.8459203	0.00223957	0
H6	UR	0°„C	UR	UR	Ammonia	0.677	GreenA	Post	0.034146448	558.59067	0.001956149	0
H7	7°„C	7°„C	NONE	NONE	Ammonia	0.667	GreenA	Post	0.034611487	778.6621333	0.001422398	7
H8	4°„C	4°„C	4°„C	NONE	Ammonia	0.588	GreenA	Post	0.038550958	687.7788463	0.001793644	4
H9	1°„C	1°„C	NONE	NONE	Ammonia	0.6225	GreenA	Post	0.036769187	588.7049609	0.001998648	1
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.632	GreenA	Pre	0.036295882	367.6137297	0.00315948	0
A6	4°„C	4°„C	4°„C	NONE	Ammonia	0.635	GreenA	Pre	0.036147894	509.5454726	0.002270126	4
A9	2°„C	2°„C	NONE	NONE	Ammonia	0.638	GreenA	Pre	0.036000604	446.1328871	0.002582234	2
B11	2°„C	2°„C	NONE	NONE	Ammonia	0.756	GreenA	Pre	0.030697383	447.1158977	0.002197006	2
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.731	GreenA	Pre	0.031748255	383.1024087	0.002651887	0
B2	UR	0°„C	UR	NONE	Ammonia	0.682	GreenA	Pre	0.033916499	361.8610358	0.002999295	0
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.622	GreenA	Pre	0.036794298	395.6144868	0.002976174	0
C1	UR+RU	0°„C	UR+RU	NONE	Ammonia	0.619	GreenA	Pre	0.036945386	379.2232947	0.003117563	0
C10	4°„C	4°„C	4°„C	NONE	Ammonia	0.601	GreenA	Pre	0.037867584	511.0165615	0.002371279	4
C12	RU	0°„C	RU	NONE	Ammonia	0.701	GreenA	Pre	0.033057804	405.0981561	0.002611342	0
C2	2°„C	2°„C	NONE	NONE	Ammonia	0.73	GreenA	Pre	0.031791034	447.0255008	0.002275738	2
C4	8°„C	8°„C	NONE	NONE	Ammonia	0.524	GreenA	Pre	0.04215206	604.1764945	0.002232569	8
C5	2°„C	2°„C	NONE	NONE	Ammonia	0.677	GreenA	Pre	0.034146448	447.3924899	0.002442344	2
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.756	GreenA	Pre	0.030697383	383.7503061	0.00255978	0
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	0.589	GreenA	Pre	0.038497857	510.50261	0.002413174	4
D2	4°„C	4°„C	4°„C	NONE	Ammonia	0.628	GreenA	Pre	0.036494295	509.8687233	0.002290428	4
D3	6°„C	6°„C	NONE	NONE	Ammonia	0.563	GreenA	Pre	0.039908687	574.4571034	0.002223104	6
D4	2°„C	2°„C	NONE	NONE	Ammonia	0.617	GreenA	Pre	0.037046519	444.7157219	0.002665722	2
D5	UR	0°„C	UR	NONE	Ammonia	0.776	GreenA	Pre	0.029881409	377.3008335	0.002534331	0
E11	3°„C	3°„C	NONE	NONE	Ammonia	0.761	GreenA	Pre	0.030491383	479.6663341	0.002034173	3
E12	UR	0°„C	UR	NONE	Ammonia	0.797	GreenA	Pre	0.029046967	365.7896935	0.002541086	0
E2	7°„C	7°„C	NONE	NONE	Ammonia	0.572	GreenA	Pre	0.039413082	604.6203759	0.002085968	7
E4	4°„C	4°„C	4°„C	NONE	Ammonia	0.692	GreenA	Pre	0.033461614	511.2400122	0.00209446	4
E5	3°„C	3°„C	NONE	NONE	Ammonia	0.815	GreenA	Pre	0.028349047	479.2740404	0.001892799	3
E6	RU	0°„C	RU	NONE	Ammonia	0.674	GreenA	Pre	0.034285235	392.1089334	0.002798017	0
E7	4°„C	4°„C	4°„C	NONE	Ammonia	0.56	GreenA	Pre	0.040075651	510.2234102	0.00251345	4
E8	UR+RU	0°„C	UR+RU	NONE	Ammonia	0.581	GreenA	Pre	0.038925214	395.688872	0.003147945	0
E9	2°„C	2°„C	NONE	NONE	Ammonia	0.675	GreenA	Pre	0.034238904	447.2282164	0.002449856	2
F1	RU	0°„C	RU	NONE	Ammonia	0.739	GreenA	Pre	0.031408116	387.9225775	0.002590877	0
F10	6°„C	6°„C	NONE	NONE	Ammonia	0.667	GreenA	Pre	0.034611487	530.8745233	0.002086308	6
F12	2°„C	2°„C	NONE	NONE	Ammonia	0.657	GreenA	Pre	0.03508355	446.2576869	0.002515752	2
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	0.785	GreenA	Pre	0.029521059	491.5371511	0.001921877	4
F3	4°„C	4°„C	4°„C	NONE	Ammonia	0.581	GreenA	Pre	0.038925214	510.5763123	0.00243961	4
F4	UR+RU	0°„C	UR+RU	NONE	Ammonia	0.798	GreenA	Pre	0.029007782	360.2414761	0.002576741	0
F6	5°„C	5°„C	NONE	NONE	Ammonia	0.667	GreenA	Pre	0.034611487	540.9976819	0.002047269	5
F7	8°„C	8°„C	NONE	NONE	Ammonia	0.636	GreenA	Pre	0.03609872	637.2128321	0.001812831	8
G11	5°„C	5°„C	NONE	NONE	Ammonia	0.527	GreenA	Pre	0.041973658	541.592732	0.002480013	5
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	0.72	GreenA	Pre	0.032222075	510.7005326	0.002019004	4
G2	1°„C	1°„C	NONE	NONE	Ammonia	0.824	GreenA	Pre	0.028005847	415.9324667	0.002154646	1
G7	RU	0°„C	RU	NONE	Ammonia	0.69	GreenA	Pre	0.033552063	392.6763574	0.002734226	0
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	0.783	GreenA	Pre	0.029600779	505.7112059	0.001873055	4
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.62	GreenA	Pre	0.036894942	375.5703174	0.003143587	0
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.661	GreenA	Pre	0.034893868	375.7733472	0.002971482	0
H12	UR+RU	0°„C	UR+RU	NONE	Ammonia	0.604	GreenA	Pre	0.037711982	376.8510524	0.003202282	0
H6	UR	0°„C	UR	NONE	Ammonia	0.734	GreenA	Pre	0.031620268	386.4261501	0.002618479	0
H7	7°„C	7°„C	NONE	NONE	Ammonia	0.621	GreenA	Pre	0.036844579	600.3673159	0.001963842	7
H8	4°„C	4°„C	4°„C	NONE	Ammonia	0.61	GreenA	Pre	0.037403083	510.8252488	0.002343069	4
H9	1°„C	1°„C	NONE	NONE	Ammonia	0.633	GreenA	Pre	0.036246475	415.3681417	0.002792432	1
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.914	CoarseA	Post	0.015480932	536.7335952	0.000922972	0
A9	2°„C	2°„C	NONE	NONE	Ammonia	0.763	CoarseA	Post	0.021123824	491.2156696	0.001376101	2
B11	2°„C	2°„C	NONE	NONE	Ammonia	0.629	CoarseA	Post	0.027159035	621.953428	0.001397354	2
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.791	CoarseA	Post	0.019997576	546.4831085	0.001170983	0
B2	UR	0°„C	UR	UR	Ammonia	0.925	CoarseA	Post	0.015107083	524.648602	0.000921429	0
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.71	CoarseA	Post	0.023373607	448.3988604	0.001668058	0
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.621	CoarseA	Post	0.027559041	553.2492177	0.001594018	0
C10	4°„C	4°„C	4°„C	NONE	Ammonia	0.764	CoarseA	Post	0.021082894	687.9237416	0.000980708	4
C12	RU	0°„C	RU	RU	Ammonia	0.93	CoarseA	Post	0.014938619	569.2269491	0.000839798	0
C2	2°„C	2°„C	NONE	NONE	Ammonia	0.99	CoarseA	Post	0.012984858	621.913309	0.000668124	2
C4	8°„C	8°„C	NONE	NONE	Ammonia	0.529	CoarseA	Post	0.032569749	785.9408731	0.001326095	8
C5	2°„C	2°„C	NONE	NONE	Ammonia	0.886	CoarseA	Post	0.016453232	622.4863337	0.000845807	2
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.611	CoarseA	Post	0.028066357	558.5367533	0.001607993	0
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.851	CoarseA	Post	0.017712758	689.3842741	0.000822195	4
D2	4°„C	4°„C	4°„C	NONE	Ammonia	0.921	CoarseA	Post	0.015242511	686.6259892	0.000710373	4
D3	6°„C	6°„C	NONE	NONE	Ammonia	0.587	CoarseA	Post	0.029318611	753.3781184	0.001245318	6
D5	UR	0°„C	UR	UR	Ammonia	0.362	CoarseA	Post	0.044424255	551.6865593	0.002576782	0
E12	UR	0°„C	UR	UR	Ammonia	0.93	CoarseA	Post	0.014938619	520.2204033	0.00091891	0
E2	7°„C	7°„C	NONE	NONE	Ammonia	0.582	CoarseA	Post	0.029585936	784.4387058	0.001206914	7
E4	4°„C	4°„C	4°„C	NONE	Ammonia	0.784	CoarseA	Post	0.020275355	688.5819035	0.000942243	4
E5	3°„C	3°„C	NONE	NONE	Ammonia	0.421	CoarseA	Post	0.039705861	654.5107009	0.001941279	3
E6	RU	0°„C	RU	RU	Ammonia	0.794	CoarseA	Post	0.019879279	561.9354868	0.001132046	0
E7	4°„C	4°„C	4°„C	NONE	Ammonia	0.797	CoarseA	Post	0.019761428	687.504701	0.000919798	4
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.97	CoarseA	Post	0.013622635	566.4816887	0.000769529	0
F1	RU	0°„C	RU	RU	Ammonia	0.813	CoarseA	Post	0.01914029	561.6053939	0.001090604	0
F10	6°„C	6°„C	NONE	NONE	Ammonia	0.835	CoarseA	Post	0.018305896	703.2513789	0.000832972	6
F3	4°„C	4°„C	4°„C	NONE	Ammonia	0.898	CoarseA	Post	0.016032822	687.689493	0.000746049	4
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.846	CoarseA	Post	0.017896907	502.7580609	0.001139119	0
F6	5°„C	5°„C	NONE	NONE	Ammonia	0.466	CoarseA	Post	0.036532336	716.9714533	0.001630518	5
F7	8°„C	8°„C	NONE	NONE	Ammonia	0.516	CoarseA	Post	0.033347301	818.0384424	0.001304479	8
G11	5°„C	5°„C	NONE	NONE	Ammonia	0.836	CoarseA	Post	0.018268493	720.1580488	0.000811755	5
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.741	CoarseA	Post	0.022038118	687.7497047	0.001025402	4
G2	1°„C	1°„C	NONE	NONE	Ammonia	0.792	CoarseA	Post	0.019958094	590.9402444	0.001080751	1
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.8655	CoarseA	Post	0.017184782	552.322465	0.000995638	0
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.837	CoarseA	Post	0.018231135	550.0485948	0.001060627	0
H6	UR	0°„C	UR	UR	Ammonia	0.798	CoarseA	Post	0.019722243	558.59067	0.001129829	0
H7	7°„C	7°„C	NONE	NONE	Ammonia	0.642	CoarseA	Post	0.026519753	778.6621333	0.001089859	7
