Ponds	Group	Temperature	Treatment	Chemical	Ammonia	Weight	Type	Dosing	K	Sum	KDD
G5	3°„C	3°„C		NONE	No Ammonia	1.543	Red	Post	0.010395908	655.4091225	0.000507575
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.555	Red	Post	0.010153816	541.2893702	0.000600274
G7	RU	0°„C	RU	RU	Ammonia	1.436	Red	Post	0.012641755	568.0331778	0.00071217
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.577	Red	Post	0.009714792	555.7136347	0.000559413
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.528	Red	Post	0.010701186	684.3270204	0.000500401
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.543	Red	Post	0.010395908	552.322465	0.00060231
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.486	Red	Post	0.011572178	550.0485948	0.000673231
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	1.369	Red	Post	0.014134909	676.2974721	0.000668814
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.618	Red	Post	0.008912713	538.8459203	0.000529292
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.613	Red	Post	0.009009433	535.7892796	0.000538088
H3	8°„C	8°„C		NONE	No Ammonia	1.543	Red	Post	0.010395908	817.5208655	0.000406924
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	1.498	Red	Post	0.011320836	688.2539508	0.000526356
H5	2°„C	2°„C		NONE	No Ammonia	1.607	Red	Post	0.009125892	617.1201987	0.000473212
H6	UR	0°„C	UR	UR	Ammonia	1.621	Red	Post	0.008854825	558.59067	0.000507267
H7	7°„C	7°„C		NONE	Ammonia	1.498	Red	Post	0.011320836	778.6621333	0.000465243
H8	4°„C	4°„C	4°„C	NONE	Ammonia	1.583	Red	Post	0.009596121	687.7788463	0.000446475
H9	1°„C	1°„C		NONE	Ammonia	1.5225	Red	Post	0.010813873	588.7049609	0.000587805
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.561	Red	Pre	0.010033469	510.8962108	0.000628447
A10	UR	0°„C	UR	NONE	No Ammonia	1.68	Red	Pre	0.00773762	373.6282585	0.000662701
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	1.646	Red	Pre	0.008376548	512.769525	0.000522749
A12	UR+RU	0°„C	UR+RU	NONE	No Ammonia	1.671	Red	Pre	0.007905481	409.0859224	0.000618392
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.696	Red	Pre	0.00744141	367.6137297	0.000647759
A3	5°„C	5°„C		NONE	No Ammonia	1.652	Red	Pre	0.008262843	536.7086318	0.000492653
A4	UR+RU	0°„C	UR+RU	NONE	No Ammonia	1.574	Red	Pre	0.009774297	396.6266239	0.000788594
A5	1°„C	1°„C		NONE	No Ammonia	1.71	Red	Pre	0.007184508	415.2492991	0.000553654
A6	4°„C	4°„C	4°„C	NONE	Ammonia	1.621	Red	Pre	0.008854825	509.5454726	0.000556092
A7	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.589	Red	Pre	0.009477899	388.7419946	0.00078019
A8	5°„C	5°„C		NONE	No Ammonia	1.584	Red	Pre	0.009576386	543.6474695	0.000563682
A9	2°„C	2°„C		NONE	Ammonia	1.649	Red	Pre	0.008319644	446.1328871	0.000596747
B1	1°„C	1°„C		NONE	No Ammonia	1.697	Red	Pre	0.007422989	415.5329206	0.000571641
B10	8°„C	8°„C		NONE	No Ammonia	1.536	Red	Pre	0.010538	611.0046601	0.000551904
B11	2°„C	2°„C		NONE	Ammonia	1.653	Red	Pre	0.008243932	447.1158977	0.000590017
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.713	Red	Pre	0.007129732	383.1024087	0.000595536
B2	UR	0°„C	UR	NONE	Ammonia	1.663	Red	Pre	0.008055451	361.8610358	0.000712358
B3	6°„C	6°„C		NONE	No Ammonia	1.654	Red	Pre	0.008225033	561.8537601	0.000468451
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.679	Red	Pre	0.007756227	390.8262586	0.000635063
B5	RU	0°„C	RU	NONE	No Ammonia	1.649	Red	Pre	0.008319644	387.8641973	0.000686396
B6	7°„C	7°„C		NONE	No Ammonia	1.592	Red	Pre	0.009418955	597.5789789	0.000504379
B7	3°„C	3°„C		NONE	No Ammonia	1.57	Red	Pre	0.009853813	478.8072599	0.000658557
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.709	Red	Pre	0.007202789	395.6144868	0.000582611
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	1.632	Red	Pre	0.008643481	510.5961807	0.000541703
C1	UR+RU	0°„C	UR+RU	NONE	Ammonia	1.652	Red	Pre	0.008262843	379.2232947	0.000697243
C10	4°„C	4°„C	4°„C	NONE	Ammonia	1.525	Red	Pre	0.010762601	511.0165615	0.000673957
C11	7°„C	7°„C		NONE	No Ammonia	1.589	Red	Pre	0.009477899	607.4374372	0.000499299
C12	RU	0°„C	RU	NONE	Ammonia	1.6505	Red	Pre	0.00829123	405.0981561	0.000654951
C2	2°„C	2°„C		NONE	Ammonia	1.688	Red	Pre	0.007589164	447.0255008	0.000543265
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	1.557	Red	Pre	0.010113648	511.2343824	0.00063305
C4	8°„C	8°„C		NONE	Ammonia	1.669	Red	Pre	0.007942906	604.1764945	0.000420693
C5	2°„C	2°„C		NONE	Ammonia	1.62	Red	Pre	0.008874109	447.3924899	0.000634726
C6	RU	0°„C	RU	NONE	No Ammonia	1.642	Red	Pre	0.008452582	385.1592489	0.000702262
C7	2°„C	2°„C		NONE	No Ammonia	1.619	Red	Pre	0.008893405	447.3081644	0.000636226
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	1.702	Red	Pre	0.00733105	512.5095976	0.000457735
C9	UR	0°„C	UR	NONE	No Ammonia	1.675	Red	Pre	0.007830765	400.584772	0.000625547
D1	RU	0°„C	RU	NONE	No Ammonia	1.536	Red	Pre	0.010538	393.9633556	0.000855958
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.69	Red	Pre	0.00755216	383.7503061	0.000629756
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	1.594	Red	Pre	0.009379721	510.50261	0.000587952
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	1.591	Red	Pre	0.00943859	510.638262	0.000591485
D2	4°„C	4°„C	4°„C	NONE	Ammonia	1.653	Red	Pre	0.008243932	509.8687233	0.0005174
D3	6°„C	6°„C		NONE	Ammonia	1.583	Red	Pre	0.009596121	574.4571034	0.00053455
D4	2°„C	2°„C		NONE	Ammonia	1.641	Red	Pre	0.00847162	444.7157219	0.000609585
D5	UR	0°„C	UR	NONE	Ammonia	1.573	Red	Pre	0.009794157	377.3008335	0.000830671
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.726	Red	Pre	0.00689347	363.6924729	0.000606532
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	1.66	Red	Pre	0.008111876	512.3217717	0.000506674
D8	UR	0°„C	UR	NONE	No Ammonia	1.681	Red	Pre	0.007719025	398.2112328	0.000620296
D9	6°„C	6°„C		NONE	No Ammonia	1.612	Red	Pre	0.009028812	575.0727168	0.00050241
E1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.646	Red	Pre	0.008376548	511.0090525	0.000524549
E10	2°„C	2°„C		NONE	No Ammonia	1.702	Red	Pre	0.00733105	447.2540647	0.00052452
E11	3°„C	3°„C		NONE	Ammonia	1.578	Red	Pre	0.009694982	479.6663341	0.000646782
E12	UR	0°„C	UR	NONE	Ammonia	1.634	Red	Pre	0.008605208	365.7896935	0.0007528
E2	7°„C	7°„C		NONE	Ammonia	1.662	Red	Pre	0.008074248	604.6203759	0.000427336
E3	UR	0°„C	UR	NONE	No Ammonia	1.676	Red	Pre	0.007812114	341.1458695	0.000732788
E4	4°„C	4°„C	4°„C	NONE	Ammonia	1.553	Red	Pre	0.010194034	511.2400122	0.000638074
E5	3°„C	3°„C		NONE	Ammonia	1.726	Red	Pre	0.00689347	479.2740404	0.000460261
E6	RU	0°„C	RU	NONE	Ammonia	1.696	Red	Pre	0.00744141	392.1089334	0.000607293
E7	4°„C	4°„C	4°„C	NONE	Ammonia	1.617	Red	Pre	0.008932033	510.2234102	0.000560196
E8	UR+RU	0°„C	UR+RU	NONE	Ammonia	1.693	Red	Pre	0.007496736	395.688872	0.000606273
E9	2°„C	2°„C		NONE	Ammonia	1.646	Red	Pre	0.008376548	447.2282164	0.000599357
F1	RU	0°„C	RU	NONE	Ammonia	1.707	Red	Pre	0.007239381	387.9225775	0.000597182
F10	6°„C	6°„C		NONE	Ammonia	1.666	Red	Pre	0.007999128	530.8745233	0.000482171
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.702	Red	Pre	0.00733105	395.8801933	0.000592587
F12	2°„C	2°„C		NONE	Ammonia	1.62	Red	Pre	0.008874109	446.2576869	0.00063634
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	1.658	Red	Pre	0.00814955	491.5371511	0.000530551
F3	4°„C	4°„C	4°„C	NONE	Ammonia	1.681	Red	Pre	0.007719025	510.5763123	0.000483784
F4	UR+RU	0°„C	UR+RU	NONE	Ammonia	1.708	Red	Pre	0.00722108	360.2414761	0.000641443
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.696	Red	Pre	0.00744141	376.592826	0.000632315
F6	5°„C	5°„C		NONE	Ammonia	1.561	Red	Pre	0.010033469	540.9976819	0.000593479
F7	8°„C	8°„C		NONE	Ammonia	1.642	Red	Pre	0.008452582	637.2128321	0.000424478
F8	2°„C	2°„C		NONE	No Ammonia	1.634	Red	Pre	0.008605208	438.0687063	0.000628592
F9	RU	0°„C	RU	NONE	No Ammonia	1.62	Red	Pre	0.008874109	394.320402	0.000720154
G1	2°„C	2°„C		NONE	No Ammonia	1.641	Red	Pre	0.00847162	448.0639684	0.000605029
G10	2°„C	2°„C		NONE	No Ammonia	1.545	Red	Pre	0.010355429	447.4649613	0.000740558
G11	5°„C	5°„C		NONE	Ammonia	1.598	Red	Pre	0.0093014	541.592732	0.000549573
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	1.561	Red	Pre	0.010033469	510.7005326	0.000628687
G2	1°„C	1°„C		NONE	Ammonia	1.695	Red	Pre	0.007459841	415.9324667	0.000573927
G3	2°„C	2°„C		NONE	No Ammonia	1.643	Red	Pre	0.008433556	446.2652051	0.000604739
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	1.695	Red	Pre	0.007459841	512.7256094	0.00046558
G5	3°„C	3°„C		NONE	No Ammonia	1.654	Red	Pre	0.008225033	479.2072676	0.000549243
G6	UR+RU	0°„C	UR+RU	NONE	No Ammonia	1.591	Red	Pre	0.00943859	375.1931046	0.000805012
G7	RU	0°„C	RU	NONE	Ammonia	1.565	Red	Pre	0.009953494	392.6763574	0.000811131
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.551	Red	Pre	0.010234305	377.6957899	0.000867094
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	1.698	Red	Pre	0.00740458	505.7112059	0.000468541
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.661	Red	Pre	0.008093057	375.5703174	0.000689559
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.649	Red	Pre	0.008319644	375.7733472	0.000708482
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	1.629	Red	Pre	0.008700979	498.2471955	0.000558822
H12	UR+RU	0°„C	UR+RU	NONE	Ammonia	1.641	Red	Pre	0.00847162	376.8510524	0.000719361
H2	UR+RU	1°„C	UR+RU	NONE	No Ammonia	1.63	Red	Pre	0.008681801	359.6589664	0.000772447
H3	8°„C	8°„C		NONE	No Ammonia	1.564	Red	Pre	0.009973469	636.9523054	0.000501059
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	1.621	Red	Pre	0.008854825	510.9729472	0.000554539
H5	2°„C	2°„C		NONE	No Ammonia	1.674	Red	Pre	0.007849427	441.6489199	0.000568736
H6	UR	0°„C	UR	NONE	Ammonia	1.632	Red	Pre	0.008643481	386.4261501	0.000715768
H7	7°„C	7°„C		NONE	Ammonia	1.617	Red	Pre	0.008932033	600.3673159	0.000476084
H8	4°„C	4°„C	4°„C	NONE	Ammonia	1.631	Red	Pre	0.008662635	510.8252488	0.00054266
H9	1°„C	1°„C		NONE	Ammonia	1.706	Red	Pre	0.007257694	415.3681417	0.000559133
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.538	Green	Post	0.041328096	688.2917682	0.001921422
A10	UR	0°„C	UR	UR	No Ammonia	0.646	Green	Post	0.035611191	548.7230628	0.002076745
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.608	Green	Post	0.037505711	690.5607143	0.001737983
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.627	Green	Post	0.036544096	571.7024932	0.002045489
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.714	Green	Post	0.032483583	536.7335952	0.001936668
A3	5°„C	5°„C		NONE	No Ammonia	0.518	Green	Post	0.042511949	717.7389295	0.001895372
A4	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.635	Green	Post	0.036147894	571.7062151	0.002023299
A5	1°„C	1°„C		NONE	No Ammonia	0.541	Green	Post	0.041154323	589.5273433	0.002233888
A6	4°„C	4°„C	4°„C	NONE	Ammonia	0.573	Green	Post	0.039358497	686.4079224	0.001834874
A7	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.497	Green	Post	0.043805237	440.3995428	0.003182945
A8	5°„C	5°„C		NONE	No Ammonia	0.487	Green	Post	0.044440422	571.8630313	0.002486773
A9	2°„C	2°„C		NONE	Ammonia	0.576	Green	Post	0.039195311	491.2156696	0.002553359
B1	1°„C	1°„C		NONE	No Ammonia	0.609	Green	Post	0.037454355	596.5805426	0.002009015
B10	8°„C	8°„C		NONE	No Ammonia	0.442	Green	Post	0.047470242	786.8680325	0.001930499
B11	2°„C	2°„C		NONE	Ammonia	0.588	Green	Post	0.038550958	621.953428	0.001983478
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.602	Green	Post	0.03781563	546.4831085	0.002214341
B2	UR	0°„C	UR	UR	Ammonia	0.744	Green	Post	0.031197393	524.648602	0.001902829
B3	6°„C	6°„C		NONE	No Ammonia	0.658	Green	Post	0.035036021	742.24955	0.001510479
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.667	Green	Post	0.034611487	567.113749	0.00195299
B5	RU	0°„C	RU	RU	No Ammonia	0.546	Green	Post	0.040866833	557.7435207	0.002344695
B6	7°„C	7°„C		NONE	No Ammonia	0.565	Green	Post	0.039797871	780.4216447	0.001631851
B7	3°„C	3°„C		NONE	No Ammonia	0.658	Green	Post	0.035036021	517.939649	0.00216464
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.584	Green	Post	0.03876427	448.3988604	0.002766413
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	0.506	Green	Post	0.043244405	543.9197722	0.002544164
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.74	Green	Post	0.031365857	553.2492177	0.001814205
C10	4°„C	4°„C	4°„C	NONE	Ammonia	0.503	Green	Post	0.043430233	687.9237416	0.002020235
C11	7°„C	7°„C		NONE	No Ammonia	0.498	Green	Post	0.043742423	787.2672959	0.001777995
C12	RU	0°„C	RU	RU	Ammonia	0.587	Green	Post	0.03860415	569.2269491	0.002170194
C2	2°„C	2°„C		NONE	Ammonia	0.643	Green	Post	0.035756653	621.913309	0.001839827
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	0.53	Green	Post	0.041796269	688.1489649	0.001943592
C4	8°„C	8°„C		NONE	Ammonia	0.627	Green	Post	0.036544096	785.9408731	0.001487912
C5	2°„C	2°„C		NONE	Ammonia	0.559	Green	Post	0.040131505	622.4863337	0.00206303
C6	RU	0°„C	RU	RU	No Ammonia	0.673	Green	Post	0.034331634	555.7259722	0.001976896
C7	2°„C	2°„C		NONE	No Ammonia	0.544	Green	Post	0.040981512	492.2699615	0.002664002
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.445	Green	Post	0.047258854	546.0259381	0.002769618
C9	UR	0°„C	UR	UR	No Ammonia	0.657	Green	Post	0.03508355	452.6442772	0.002480256
D1	RU	0°„C	RU	RU	No Ammonia	0.533	Green	Post	0.041619881	575.1613241	0.002315587
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.686	Green	Post	0.03373375	558.5367533	0.001932693
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.536	Green	Post	0.041444483	689.3842741	0.00192378
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	0.377	Green	Post	0.052441013	687.472772	0.002440987
D2	4°„C	4°„C	4°„C	NONE	Ammonia	0.581	Green	Post	0.038925214	686.6259892	0.001814098
D3	6°„C	6°„C		NONE	Ammonia	0.513	Green	Post	0.042815055	753.3781184	0.001818585
D4	2°„C	2°„C		NONE	Ammonia	0.585	Green	Post	0.038710805	618.9731682	0.002001292
D5	UR	0°„C	UR	UR	Ammonia	0.75	Green	Post	0.030946388	551.6865593	0.001795013
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.622	Green	Post	0.036794298	533.3838903	0.002207449
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.484	Green	Post	0.044633522	545.8326823	0.002616686
D8	UR	0°„C	UR	UR	No Ammonia	0.767	Green	Post	0.030245963	453.9282073	0.002132211
D9	6°„C	6°„C		NONE	No Ammonia	0.637	Green	Post	0.036049624	597.7366259	0.001929927
E1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.661	Green	Post	0.034893868	688.338158	0.001622173
E10	2°„C	2°„C		NONE	No Ammonia	0.505	Green	Post	0.043306225	622.0348773	0.002227848
E11	3°„C	3°„C		NONE	Ammonia	0.623	Green	Post	0.036744097	656.0330853	0.001792305
E12	UR	0°„C	UR	UR	Ammonia	0.739	Green	Post	0.031408116	520.2204033	0.001931988
E2	7°„C	7°„C		NONE	Ammonia	0.602	Green	Post	0.03781563	784.4387058	0.001542632
E3	UR	0°„C	UR	UR	No Ammonia	0.514	Green	Post	0.042754199	521.7631767	0.002622137
E4	4°„C	4°„C	4°„C	NONE	Ammonia	0.698	Green	Post	0.033191829	688.5819035	0.001542501
E5	3°„C	3°„C		NONE	Ammonia	0.628	Green	Post	0.036494295	654.5107009	0.00178426
E6	RU	0°„C	RU	RU	Ammonia	0.739	Green	Post	0.031408116	561.9354868	0.001788568
E7	4°„C	4°„C	4°„C	NONE	Ammonia	0.557	Green	Post	0.040243512	687.504701	0.00187314
